ImageId,EncodedPixels
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b,32268 6 32523 8 32777 10 33033 10 33289 10 33545 10 33801 10 34057 9 34316 4 34574 1 34831 6 35086 8 35341 10 35596 11 35851 13 36107 13 36363 13 36619 12 36875 12 37131 12 37387 11 37644 9 37902 6 38160 2
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b,575 7 831 8 1087 8 1343 8 1599 9 1855 9 2111 8 2367 8 2624 6 2881 4
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b,14915 5 15170 7 15425 9 15681 10 15937 10 16192 11 16449 10 16705 9 16961 8 17218 7
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b,3651 9 3906 11 4161 12 4417 12 4673 12 4929 12 5185 12 5441 12 5697 11 5954 9 6213 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b,64670 8 64925 10 65181 10 65437 10
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,9867 7 10383 15 10901 18 11419 21 11938 23 12457 24 12976 25 13495 27 14014 28 14533 29 15052 30 15571 31 16090 32 16609 32 17128 32 17647 33 18166 33 18685 33 19204 33 19724 32 20243 32 20764 30 21284 29 21804 28 22325 25 22846 23 23368 20 23890 18 24409 20 24927 24 25445 27 25964 28 26483 30 27002 31 27521 33 28040 35 28559 35 29078 36 29597 37 30116 38 30635 39 31155 39 31675 38 32194 39 32714 39 33233 39 33753 38 34272 38 34793 36 35313 34 35833 33 36354 30 36875 28 37396 25 37916 23 38437 19 38959 15 39482 8
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,46262 1 46776 10 47291 16 47809 18 48326 21 48844 23 49361 25 49879 26 50396 28 50914 29 51432 30 51950 31 52469 31 52987 32 53504 33 54021 35 54537 37 55053 39 55569 42 56086 44 56604 44 57122 44 57640 44 58157 45 58675 45 59194 43 59711 44 60229 43 60747 43 61256 4 61263 45 61768 59 62285 60 62802 61 63320 61 63838 61 64357 60 64876 59 65395 57 65914 36 65954 16 66433 35 66477 10 66952 34 67471 34 67990 34 68509 33 69028 33 69547 33 70066 33 70585 32 71104 32 71623 32 72142 31 72661 30 73180 29 73699 28 74218 27 74737 26 75256 25 75775 23 76294 21 76814 18 77333 15 77854 10
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,4 10 521 15 1040 15 1560 12 2083 1
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,44651 8 45165 17 45682 21 46199 25 46717 27 47235 29 47753 31 48272 31 48791 32 49309 33 49828 33 50347 33 50866 33 51385 33 51904 32 52423 32 52942 31 53461 31 53981 29 54500 28 55019 26 55539 24 56059 21 56580 16 57101 10
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,110586 3 111101 13 111618 16 112135 19 112653 21 113171 24 113690 24 114209 25 114727 26 115245 28 115764 29 116282 31 116801 31 117320 32 117840 31 118359 31 118878 31 119398 30 119917 30 120437 29 120956 29 121475 29 121995 28 122514 29 123034 28 123554 27 124074 26 124594 25 125113 25 125633 23 126153 21 126674 18 127194 16 127714 13 128233 11 128751 7 129268 6
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,48 22 565 27 1083 29 1601 31 2120 31 2638 34 3157 38 3676 41 4195 43 4714 45 5233 46 5752 47 6272 46 6792 45 7311 45 7831 44 8350 44 8870 43 9391 41 9912 39 10437 33 10961 28 11481 27 12000 27 12520 26 13040 25 13559 24 14078 24 14598 23 15117 22 15636 21 16156 20 16676 18 17196 17 17717 14 18239 8
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,80001 10 80517 15 81033 20 81549 24 82066 26 82583 29 83100 31 83617 34 84134 37 84651 39 85170 40 85688 41 86205 43 86723 44 87242 44 87760 44 88279 44 88798 44 89317 43 89836 42 90355 42 90874 42 91393 40 91912 37 92431 34 92951 30 93470 27 93991 22 94512 17 95034 10
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,78497 3 79012 13 79530 16 80046 20 80564 22 81082 24 81600 26 82118 27 82636 28 83155 28 83674 29 84192 30 84711 31 85230 31 85748 31 86267 31 86785 32 87303 33 87822 33 88341 33 88860 32 89379 32 89898 30 90417 28 90935 27 91442 38 91957 41 92475 42 92992 44 93510 45 94029 46 94547 48 95066 49 95584 51 96102 52 96621 52 97139 54 97658 54 98177 55 98695 57 99214 57 99732 58 100251 58 100770 58 101289 58 101808 57 102328 27 102356 28 102847 26 102877 26 103367 24 103398 23 103886 22 103918 22 104406 19 104437 21 104926 17 104957 20 105447 12 105478 17 105999 14 106520 9
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,113242 2 113756 11 114274 15 114791 18 115309 20 115828 20 116346 22 116865 23 117383 25 117902 25 118420 26 118938 28 119457 28 119975 29 120494 29 121013 30 121532 30 122051 30 122570 30 123089 30 123608 30 124127 30 124646 29 125165 29 125684 29 126203 29 126723 27 127242 27 127761 26 128281 23 128801 22 129321 20 129842 17 130365 11
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,8439 6 8956 10 9473 15 9992 16 10510 17 11029 18 11547 21 12066 22 12585 22 13104 23 13623 24 14141 26 14660 27 15180 26 15699 26 16219 26 16738 26 17257 26 17777 25 18296 26 18816 26 19335 25 19855 24 20374 24 20892 24 21410 25 21906 7 21928 25 22424 10 22446 26 22942 13 22964 27 23461 13 23483 24 23980 14 24001 17 24499 15 24520 16 25018 16 25039 16 25537 17 25558 17 26056 17 26076 18 26574 19 26595 18 27093 19 27113 19 27612 40 28131 40 28650 39 29170 37 29689 37 30208 37 30727 37 31246 37 31765 37 32284 37 32804 34 33323 21 33346 9 33844 20 34364 20 34884 19 35404 18 35924 16 36444 14 36965 10 37486 7
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,49420 7 49937 12 50454 15 50973 16 51491 18 52010 19 52529 20 53047 22 53566 22 54085 22 54603 23 55122 24 55640 26 56160 25 56679 26 57198 26 57717 26 58236 26 58756 26 59275 26 59793 27 60313 26 60833 25 61352 25 61871 25 62390 25 62910 24 63429 24 63949 23 64469 22 64988 21 65508 20 66027 20 66547 18 67068 15 67588 12 68110 7
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,111221 12 111737 18 112254 21 112771 25 113289 27 113807 29 114325 30 114843 32 115361 33 115880 34 116399 35 116918 36 117436 37 117955 38 118474 38 118992 39 119511 39 120031 38 120550 38 121069 37 121588 37 122107 37 122626 37 123145 36 123664 35 124177 40 124693 42 125209 44 125726 45 126243 45 126762 43 127280 26 127310 11 127798 27 128316 28 128835 28 129353 30 129872 30 130391 30 130912 25
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,54126 8 54643 12 55161 15 55222 5 55679 17 55738 11 56198 17 56256 14 56717 18 56775 16 57236 19 57294 17 57754 22 57812 19 58273 22 58331 20 58792 24 58850 21 59311 26 59368 23 59830 34 59886 25 60349 35 60405 26 60868 38 60923 28 61387 40 61440 31 61906 85 62425 86 62945 85 63464 86 63983 86 64502 87 65022 86 65541 87 66061 87 66581 85 67101 84 67620 84 68139 83 68659 81 69178 81 69698 78 70217 76 70737 72 71257 59 71777 55 72297 53 72817 52 73338 49 73858 48 74378 20 74399 26 74899 16 74919 25 75419 13 75439 24 75942 5 75960 22 76480 21 76999 20 77518 20 78038 19 78558 17 79078 14 79599 12 80122 6
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,172 18 690 21 1207 24 1725 26 2243 27 2762 27 3281 28 3800 28 4319 28 4838 28 5356 29 5875 29 6394 28 6913 27 7432 27 7951 26 8470 26 8989 26 9509 25 10028 24 10547 24 11066 23 11585 22 12104 21 12624 20 13144 18 13665 14 14186 10
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,21982 5 22498 11 23016 14 23534 16 24053 17 24572 18 25090 20 25609 21 26128 22 26647 23 27165 25 27685 25 28204 25 28724 25 29243 25 29762 25 30281 25 30800 26 31319 27 31838 27 32358 27 32877 27 33396 27 33916 27 34436 26 34956 25 35475 25 35995 24 36515 23 37035 22 37555 21 38075 20 38594 19 39113 19 39634 17 40154 14 40674 12 41197 6
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,82747 5 83264 10 83781 14 84298 16 84817 17 85336 17 85854 18 86373 19 86892 19 87410 20 87928 21 88447 21 88965 22 89484 22 90003 22 90522 23 91041 22 91560 22 92079 21 92598 21 93117 21 93636 20 94155 20 94674 20 95193 20 95712 20 96231 19 96751 18 97270 17 97771 12 97789 15 98288 34 98805 33 99322 33 99840 33 100359 33 100877 35 101396 35 101915 36 102434 36 102952 37 103471 38 103990 38 104509 38 105028 38 105547 38 106067 37 106586 37 107105 37 107624 37 108144 35 108664 34 109185 32 109705 31 110224 31 110745 27 111265 25 111785 23 112306 20 112829 13
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,52667 8 53184 12 53702 15 54220 18 54739 20 55258 21 55776 22 56295 23 56814 24 57332 26 57851 26 58370 26 58888 27 59407 27 59926 27 60445 27 60964 27 61484 26 62003 26 62522 26 63042 25 63561 25 64080 25 64599 24 65119 22 65638 22 66157 22 66676 21 67196 20 67715 20 68235 18 68755 16 69276 12 69797 9 70319 1
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,128453 8 128969 14 129487 17 130005 19 130524 19 131044 16
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,94728 10 95245 14 95763 17 96281 18 96799 20 97318 21 97837 21 98356 22 98875 23 99394 24 99913 24 100432 24 100951 25 101469 27 101988 28 102507 28 103026 28 103545 28 104065 27 104584 28 105103 28 105622 28 106142 26 106661 26 107181 25 107701 24 108220 24 108740 22 109259 22 109780 19 110301 16 110822 13 111345 5
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,14816 9 15333 12 15851 15 16368 17 16885 20 17403 21 17921 22 18439 23 18957 24 19475 25 19993 26 20511 27 21029 28 21548 27 22067 26 22585 26 23104 25 23622 26 24141 26 24659 26 25178 26 25697 25 26216 24 26735 23 27254 23 27773 22 28293 21 28812 19 29332 17 29852 15 30372 12
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,56869 2 57384 9 57901 13 58418 15 58936 17 59455 18 59974 19 60492 21 61010 22 61529 22 62047 23 62566 23 63085 23 63603 24 64122 24 64641 24 65160 24 65679 24 66198 24 66717 24 67236 23 67755 23 68274 23 68793 22 69312 22 69832 20 70351 20 70870 19 71388 20 71905 22 72422 23 72940 23 73458 23 73976 23 74494 24 75013 22 75532 21 76051 21 76570 21 77089 21 77608 22 78127 23 78646 23 79165 24 79684 24 80203 24 80722 24 81241 24 81761 23 82280 24 82800 23 83320 22 83840 21 84359 21 84878 21 85398 20 85918 18 86438 17 86958 15 87479 11 88001 6
eea70a7948d25a9a791dbcb39228af4ea4049fe5ebdee9c04884be8cca3da835,20044 9 20562 11 21079 14 21597 15 22115 16 22633 18 23150 20 23669 19 24187 20 24706 20 25224 21 25742 21 26260 21 26779 21 27298 21 27816 21 28335 21 28852 23 29369 25 29885 27 30402 29 30919 31 31437 31 31956 30 32475 29 32994 28 33512 29 34031 26 34550 25 35069 23 35588 22 36107 21 36626 21 37145 21 37664 21 38183 21 38702 21 39221 21 39740 21 40259 20 40778 20 41297 20 41817 18 42336 17 42855 17 43374 16 43893 16 44413 13 44934 9 45456 1
